phrase,translation,comment,source,idiom
elbow,იდაყვი,,,
Sweep the floor with this broom.,დაგავე ამ ცოცხით.,,,
This furniture needs a restoration.,ეს ავეჯი საჭიროებს რესტავრაციას.,,,
It's amazing how you can control people.,"გასაოცარია, როგორ შეგიძლია ხალხის კონტროლი!",,,
You have achieved a lot at your age.,შენს ასაკში ბევრს მიაღწიე.,,,
yawn,დამთქნარება,,,
What a coincidence?!,რა დამთხვევაა?!,,,
What a mess?,რა არეულობაა?,,,
I want to see with my own eyes.,"მინდა, საკუთარი თვალით ვნახო.",,,
Let's warm up before we dance.,"მოდი, გავხურდეთ, სანამ ვიცეკვებთ.",,,
dip,საწებელი,,,
sticky hands,წებოვანი ხელები,,,
catch a bus,მიუსწრო ავტობუსს,,,
miss a bus,გაგასწროს ავტობუსმა,,,
earn money,"ფულის კეთება, შოვნა",,,
make money,"ფულის კეთება, შოვნა",,,
generate money,"ფულის კეთება, შოვნა",ფორმალური,,
earlier then that,ამაზე ადრე,,,
I can't take my eyes off you!,თვალს ვერ ვწყვეტ!,,,
acquaint myself with sth.,გავეცნო რამეს,,,
Give me 2 minutes to acquaint myself with this document.,"2 წუთი მომეცი, რომ გავეცნო ამ დოკუმენტს.",,,
close network,შიდა (დახურული) ქსელი,,,
benefit from sth.,იხეირო რაღაცისგან,,,
I'm on holiday.,შვებულებაში ვარ.,,,
I'm on vacation.,შვებულებაში ვარ.,AmE,,
If you please.,თუ გნებავთ.,,,
as you please.,როგორც გნებავთ.,,,
explore new places,ახალი ადგილების გამოკვლევა.,,,
take in a beautiful sunset,დატკბე ლამაზი მზის ჩასვლით,,,
sun-lounger,შეზლონგი,,,
bum,"""ბომჟი"", უსახლკარო",,,
swimwear,საცურაო კოსტუმი,,,
plane is touching down,თვითმფრინავი ჯდება,,,
plane is landing,თვითმფრინავი ჯდება,,,
once,როგორც კი,,,
as soon as,როგორც კი,,,
the moment,როგორც კი,,,
the minute,როგორც კი,,,
reach for sth.,გადაწვდე რამეს,,,
a plot of land,მიწის ნაკვეთი,,,
millennium/millennia,ათასწლეული/ათასწლეულები,,,
decade,ათწლეული,,,
bacterium/bacteria,ბაქტერია/ბაქტერიები,,,
criterion/criteria,კრიტერიუმი/კრიტერიუმები,,,
You are probably right.,შენ ალბათ მართალი ხარ.,,,
Do you know what I like about you?,"იცი, რა მომწონს შენში?",,,
build a network,შექმნა სანაცნობო წრე (ქსელი),,,
graduate,კურსდამთავრებული,,,
make a best use of sth.,საუკეთესო გამოყენება უპოვო რამეს,,,
Mathematics supports this argument.,მათემატიკა ამყარებს ამ არგუმენტს.,,,
close contacts,"ახლობლები, ახლო კონტაქტები",,,
aggregates to sth.,დაჯამება რაღაცამდე (აგრეგაცია),,,
agreeable,ადექვატური (ადამიანი),,,
